0.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 -1.260000000000000e-03
9.992492175322500e-01 -1.365242965750000e-03
9.974836594622813e-01 -1.612338091281250e-03
9.945708090253503e-01 -2.018890028949063e-03
9.905040159725270e-01 -2.584027111528469e-03
9.852917884731219e-01 -3.304209233773563e-03
9.789461143773026e-01 -4.174848392983189e-03
9.714818418950435e-01 -5.190447505583118e-03
9.629163905124859e-01 -6.344646226544316e-03
9.532698112894573e-01 -7.630425346238897e-03
9.425645618323120e-01 -9.040059623674952e-03
9.308257440139900e-01 -1.056546819673277e-02
9.180806397897674e-01 -1.219787407300064e-02
9.043590886460893e-01 -1.392839836942756e-02
8.896931717289920e-01 -1.574771199589122e-02
8.741170994869769e-01 -1.764637039587210e-02
8.576672464586600e-01 -1.961462278170781e-02
8.403820209441129e-01 -2.164266102828662e-02
8.223018695056128e-01 -2.372059446717967e-02
8.034689882870686e-01 -2.583846234021252e-02
7.839272993243863e-01 -2.798597535015657e-02
7.637225145076932e-01 -3.015303640928029e-02
7.429017133922570e-01 -3.232925161655840e-02
7.215136721499464e-01 -3.450395966633294e-02
6.996082553238636e-01 -3.666641271737692e-02
6.772366777091291e-01 -3.880555624156111e-02
6.544510940004592e-01 -4.091021603581214e-02
6.313048165866659e-01 -4.296873847264978e-02
6.078518728677103e-01 -4.496921458265907e-02
5.841470767300068e-01 -4.689944480085848e-02
5.602456329525666e-01 -4.874695427806792e-02
5.362035788015184e-01 -5.049910752002659e-02
5.120769662201747e-01 -5.214295537651859e-02
4.879220962586340e-01 -5.366550353186236e-02
4.637954882019940e-01 -5.505376744039547e-02
4.397534477916369e-01 -5.629487577149242e-02
4.158520735817630e-01 -5.737623341036238e-02
3.921472239898524e-01 -5.828558358919821e-02
3.686942806900886e-01 -5.901126984727346e-02
3.455480263327871e-01 -5.954247200434833e-02
3.227625205852411e-01 -5.986914376224635e-02
3.003908967878765e-01 -5.998231817053525e-02
2.784854896420838e-01 -5.987431128136399e-02
2.570974792229767e-01 -5.953881449889587e-02
2.362767636607294e-01 -5.897089342999547e-02
2.160719406786424e-01 -5.816732663216777e-02
1.965302679467438e-01 -5.712650180841257e-02
1.776974149323794e-01 -5.584838217069939e-02
1.596172922728411e-01 -5.433480599037083e-02
1.423320982499267e-01 -5.258916853250144e-02
1.258822790598093e-01 -5.061639174521878e-02
1.103062417086311e-01 -4.842298679853786e-02
9.564036112562735e-02 -4.601661890275809e-02
8.191885789091186e-02 -4.340634923339282e-02
6.917385604290814e-02 -4.060193880408806e-02
5.743501395489509e-02 -3.761406134122560e-02
4.672979459264882e-02 -3.445366615380736e-02
3.708325632874097e-02 -3.113213665536243e-02
2.851784670411064e-02 -2.766067228481846e-02
2.105361678247512e-02 -2.405021811357678e-02
1.470797599913153e-02 -2.031115312948230e-02
9.495736142339182e-03 -1.645313258010612e-02
5.429146128455202e-03 -1.248481279080900e-02
2.517641032700628e-03 -8.413624330911739e-03
7.680107259594727e-04 -4.246412257778207e-03
1.843534944147231e-04 6.639047162559806e-07
7.680563113466001e-04 4.247207274599411e-03
2.517731509334624e-03 8.413814860372319e-03
5.429280960751896e-03 1.248493438248444e-02
9.495916352331692e-03 1.645326673432920e-02
1.470820087458278e-02 2.031130534163830e-02
2.105388454366502e-02 2.405038459253609e-02
2.851815801453443e-02 2.766084948215992e-02
3.708360949321201e-02 3.113232067604767e-02
4.673018938694076e-02 3.445385381586502e-02
5.743545041909384e-02 3.761424691099467e-02
6.917433071864866e-02 4.060211848561472e-02
8.191937132832747e-02 4.340651904023674e-02
9.564091246266168e-02 4.601677531075727e-02
1.103068283632766e-01 4.842312578112253e-02
1.258829005199376e-01 5.061650954221773e-02
1.423327535418239e-01 5.258926353488809e-02
1.596179790559195e-01 5.433487509938922e-02
1.776981305068893e-01 5.584842566458950e-02
1.965310123898067e-01 5.712651675688487e-02
2.160727129270514e-01 5.816731293043574e-02
2.362775602249475e-01 5.897085326709679e-02
2.570982977383380e-01 5.953874670768087e-02
2.784863296356795e-01 5.987421785826522e-02
3.003917570198426e-01 5.998220189759056e-02
3.227633970304261e-01 5.986900538154007e-02
3.455489171306196e-01 5.954231400773137e-02
3.686951851989922e-01 5.901109646103535e-02
3.921481394759980e-01 5.828539680227002e-02
4.158529980095486e-01 5.737603468613370e-02
4.397543781660122e-01 5.629466926396066e-02
4.637964223072647e-01 5.505355581654840e-02
4.879230338720959e-01 5.366528866983832e-02
5.120779037607807e-01 5.214273949050964e-02
5.362045124753648e-01 5.049889192802973e-02
5.602465644598329e-01 4.874674167910937e-02
5.841480011508799e-01 4.689923612984249e-02
6.078527871407426e-01 4.496900953087405e-02
6.313057210955373e-01 4.296853812636718e-02
6.544519860109190e-01 4.091002022698976e-02
6.772375541543141e-01 3.880536654929207e-02
6.996091143432022e-01 3.666622798545718e-02
7.215145121435744e-01 3.450377847622726e-02
7.429025331207316e-01 3.232907369486183e-02
7.637233110788259e-01 3.015286144415575e-02
7.839280704399364e-01 2.798580507372143e-02
8.034697331620394e-01 2.583829289693890e-02
8.223025851598914e-01 2.372042619166845e-02
8.403827077340734e-01 2.164249607015744e-02
8.576679017505573e-01 1.961445906319822e-02
8.741177209402231e-01 1.764620785472751e-02
8.896937583038711e-01 1.574755248474391e-02
9.043596395512479e-01 1.392824235868403e-02
9.180811543605256e-01 1.219772276114887e-02
9.308262186897325e-01 1.056532146554280e-02
9.425649971632000e-01 9.039919541917641e-03
9.532702065161022e-01 7.630293998141220e-03
9.629167437635275e-01 6.344523693339994e-03
9.714821532903037e-01 5.190336326457680e-03
9.789463825411335e-01 4.174749858018370e-03
9.852920117494635e-01 3.304125396715991e-03
9.905041891250225e-01 2.583959165113068e-03
9.945708427534501e-01 2.018850803023843e-03
9.974825115057654e-01 1.612475981748325e-03
9.992409080163241e-01 1.366396836271508e-03
1.000000000000000e+00 1.260000000000000e-03
