0.000000000000000e+00 0.000000000000000e+00
2.500000000000000e-03 -5.100000000000000e-03
5.018468750000001e-03 -6.547856000000001e-03
7.895269531250000e-03 -7.743483062500001e-03
1.364383941406250e-02 -9.258426039375002e-03
2.680673869921876e-02 -1.170605626493750e-02
5.017591891796876e-02 -1.472881317982812e-02
7.518954277737795e-02 -1.740697135824211e-02
1.034117128670593e-01 -2.027150536192073e-02
1.503291073490933e-01 -2.460897712074877e-02
2.000269269487083e-01 -2.902421114931769e-02
2.500019972012965e-01 -3.293027328216228e-02
3.000001387664978e-01 -3.588663553084456e-02
3.500000092018336e-01 -3.858675880640413e-02
4.000000005891765e-01 -4.000729283863956e-02
4.500000000367086e-01 -4.019739156418926e-02
5.000062500022378e-01 -3.912376488318939e-02
5.503509375001341e-01 -3.691246020735182e-02
6.068213437500078e-01 -3.320129046842438e-02
7.006580703125005e-01 -2.559149058931892e-02
8.000538442968752e-01 -1.718254800729567e-02
9.000039887773438e-01 -8.706729834307670e-03
1.000000000000000e+00 -8.000000000000000e-04
1.000000000000000e+00 8.000000000000000e-04
9.000000000000000e-01 1.462211681250000e-02
8.000062500000000e-01 2.909680682031250e-02
7.003509375000000e-01 4.337320514695313e-02
6.068213437500000e-01 5.520033248549219e-02
5.506580703125001e-01 6.080856293507423e-02
5.000538443359376e-01 6.438842859726332e-02
4.500039937910157e-01 6.660992510913713e-02
4.000002774949220e-01 6.763496412225797e-02
3.500000184013476e-01 6.756481873359482e-02
3.000000011782141e-01 6.612394931976093e-02
2.500000000734088e-01 6.403433562797745e-02
2.000031250044749e-01 6.028644132664011e-02
1.501754687502680e-01 5.456021167545116e-02
1.034106718750158e-01 4.706761273332138e-02
7.533059765625091e-02 4.077632612759816e-02
5.011559404296881e-02 3.312009935009925e-02
2.676028595800782e-02 2.360915090814957e-02
1.370540476308594e-02 1.652489393186264e-02
7.953247110827637e-03 1.253525935089015e-02
5.041892952919313e-03 9.927205699198695e-03
2.500000000000000e-03 7.000000000000000e-03
